2.136	0.119	-9.257	acostado
2.02	0.069	-9.266	acostado
1.958	0.081	-9.284	acostado
1.944	0.099	-9.316	acostado
1.976	0.067	-9.331	acostado
2.011	0.029	-9.274	acostado
2.06	0.038	-9.37	acostado
2.114	0.029	-9.379	acostado
2.087	0.007	-9.329	acostado
2.089	-0.012	-9.286	acostado
2.14	0.013	-9.262	acostado
2.2	0.028	-9.286	acostado
2.157	0.001	-9.272	acostado
2.1	-0.063	-9.285	acostado
2.051	-0.128	-9.357	acostado
2.069	-0.184	-9.348	acostado
2.084	-0.209	-9.374	acostado
2.186	-0.134	-9.372	acostado
2.31	0.077	-9.298	acostado
2.45	0.235	-9.238	acostado
2.423	0.283	-9.246	acostado
2.292	0.164	-9.272	acostado
2.224	0.024	-9.227	acostado
2.233	0.02	-9.188	acostado
2.26	0.169	-9.131	acostado
2.264	0.412	-9.148	acostado
2.206	0.493	-9.171	acostado
2.091	0.368	-9.215	acostado
2.005	0.248	-9.22	acostado
1.973	0.25	-9.22	acostado
1.997	0.4	-9.333	acostado
2.057	0.564	-9.347	acostado
2.106	0.587	-9.254	acostado
2.076	0.432	-9.142	acostado
2.088	0.283	-9.185	acostado
2.106	0.193	-9.251	acostado
2.041	0.163	-9.29	acostado
1.939	0.178	-9.322	acostado
1.913	0.186	-9.268	acostado
1.985	0.236	-9.182	acostado
2.045	0.338	-9.111	acostado
2.006	0.42	-9.11	acostado
1.919	0.467	-9.183	acostado
1.931	0.522	-9.196	acostado
1.869	0.535	-9.291	acostado
1.596	0.541	-9.367	acostado
1.179	0.423	-9.59	acostado
0.806	0.281	-9.785	acostado
0.728	0.108	-9.845	acostado
0.645	-0.041	-9.691	acostado
0.542	-0.06	-9.425	acostado
0.517	0.101	-9.221	acostado
0.906	0.286	-9.173	acostado
1.493	0.318	-9.167	acostado
2.182	0.219	-9.147	acostado
2.704	0.066	-9.337	acostado
3.002	-0.05	-9.579	acostado
3.067	-0.15	-9.536	acostado
2.946	-0.186	-9.384	acostado
2.976	-0.048	-9.442	acostado
3.436	0.008	-9.782	acostado
4.244	0.063	-9.771	acostado
4.781	0.08	-8.88	acostado
4.719	-0.006	-8.383	acostado
4.312	0.078	-8.317	acostado
3.911	-0.069	-8.637	acostado
3.812	-0.241	-8.787	acostado
3.801	-0.589	-9.184	acostado
3.727	-0.713	-9.414	acostado
3.567	-0.391	-9.239	acostado
3.176	0.091	-9.007	acostado
2.788	0.516	-8.842	acostado
2.263	0.718	-8.906	acostado
1.566	0.826	-9.098	acostado
0.933	0.921	-9.224	acostado
0.532	0.996	-9.147	acostado
0.238	1.018	-9.088	acostado
0.04	0.982	-9.202	acostado
-0.024	0.933	-9.365	acostado
0.066	0.747	-9.286	acostado
0.25	0.533	-9.158	acostado
0.451	0.335	-9.012	acostado
0.573	0.323	-8.812	acostado
0.717	0.457	-8.687	acostado
0.832	0.6	-8.769	acostado
1.021	0.621	-9.072	acostado
1.213	0.53	-9.5	acostado
1.36	0.382	-9.881	acostado
1.334	0.124	-10.208	acostado
1.267	-0.241	-10.309	acostado
1.27	-0.527	-10.033	acostado
1.368	-0.533	-9.614	acostado
1.712	-0.344	-9.28	acostado
2.27	-0.101	-9.112	acostado
2.841	0.024	-8.95	acostado
3.449	-0.016	-8.715	acostado
3.853	-0.05	-8.721	acostado
4.159	-0.072	-8.97	acostado
4.367	-0.03	-9.032	acostado
4.53	0.002	-9.042	acostado
4.478	0.121	-9.062	acostado
4.104	0.248	-9.139	acostado
3.796	0.139	-9.231	acostado
3.614	0.034	-9.257	acostado
3.531	0.038	-9.245	acostado
3.509	0.069	-9.184	acostado
3.355	0.081	-9.172	acostado
3.1	0.084	-9.234	acostado
2.829	0.048	-9.257	acostado
2.561	0.047	-9.165	acostado
2.259	0.066	-9.084	acostado
1.98	0.138	-9.078	acostado
1.713	0.176	-9.143	acostado
1.45	0.154	-9.184	acostado
1.204	0.133	-9.152	acostado
1.019	0.113	-9.202	acostado
0.935	0.148	-9.348	acostado
0.954	0.254	-9.428	acostado
1.018	0.28	-9.446	acostado
1.1	0.292	-9.383	acostado
1.178	0.338	-9.287	acostado
1.32	0.379	-9.242	acostado
1.438	0.396	-9.234	acostado
1.604	0.333	-9.226	acostado
1.806	0.292	-9.19	acostado
2.025	0.244	-9.171	acostado
2.263	0.182	-9.276	acostado
2.476	0.017	-9.522	acostado
2.626	0.038	-9.479	acostado
2.743	0.15	-9.392	acostado
2.735	0.17	-9.42	acostado
2.806	0.086	-9.652	acostado
